Opening Name	White Wins	Draws	Black Wins	FEN	PGN
Anderssen's Opening	1189425	134500	1239385	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1	1 a3
Anderssen's Opening-Polish Gambit	2514	534	2730	rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2	1 a3 a5 2 b4
Anderssen's Opening-Hippopotamus Attack	301	28	602	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ - 0 7	1 a3 e5 2 b3 d5 3 c3 Nf6 4 d3 Nc6 5 e3 Bd6 6 f3 0-0 7 g3
Anderssen's Opening-Shy Attack	341	33	351	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ - 0 7	1 a3 e5 2 g3 d5 3 Bg2 Nf6 4 d3 Nc6 5 Nd2 Bd6 6 e3 0-0 7 h3
Anderssen's Opening-Creepy Crawly Formation	147189	12795	163186	rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3	1 a3 e5 2 h3 d5
Anderssen's Opening-Andersspike	228	43	322	rnbqkbnr/pppppp1p/6p1/8/6P1/P7/1PPPPP1P/RNBQKBNR b KQkq - 0 2	1 a3 g6 2 g4
Ware/Meadow Hay Opening	876638	126377	1122534	rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1	1 a4
Ware Opening-Wing Gambit	3597	1717	2765	rnbqkbnr/p1pppppp/8/1p6/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2	1 a4 b5 (2 axb5 Bb7)
Ware Opening-Potato Variation	11963	1143	12845	rnbqkbnr/ppp1pppp/8/3p4/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2	1 a4 d5 2 Nf3
Ware Opening-King's Pawn Variation	354723	39753	488260	rnbqkbnr/pppp1ppp/8/4p3/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2	1 a4 e5
Ware Opening-Ware Gambit	125	9	100	rnbqkbnr/ppp3pp/P7/3ppp2/8/4P3/1PPP1PPP/RNBQKBNR b KQkq - 0 4	1 a4 e5 2 a5 d5 3 e3 f5 4 a6
Ware Opening-Aquisap Opening	118990	12386	154777	rnbqkbnr/pppp1ppp/8/4p3/P3P3/8/1PPP1PPP/RNBQKBNR b KQkq - 0 2	1 a4 e5 2 e4
Ware Opening-Crab Opening	96291	11317	139855	rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq - 0 2	1 a4 e5 2 h4
Ware Opening-Meadow Hay Trap	8489	1863	24894	rnbqkbnr/pppp1ppp/8/4p3/P7/R7/1PPPPPPP/1NBQKBNR b Kkq - 1 2	1 a4 e5 2 Ra3
Nimzowitsch-Larsen Attack	15153061	1382483	14205303	rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1	1 b3
Nimzowitsch-Larsen Attack-Polish Variation	42881	4263	32121	rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 b5
Nimzowitsch-Larsen Attack-Symmetrical Variation	427222	41841	387980	rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 b6
Nimzowitsch-Larsen Attack-English Variation	780731	73266	750651	rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 c5
Nimzowitsch-Larsen Attack-Classical Variation	3764665	347217	3583768	rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 d5
Nimzowitsch-Larsen Attack-Classical Variation-Graz Attack	41389	4249	46345	rnbqkbnr/ppp1pppp/8/3p4/8/BP6/P1PPPPPP/RN1QKBNR b KQkq - 1 2	1 b3 d5 2 Ba3
Nimzowitsch-Larsen Attack-Modern Variation	5562573	470249	5196486	rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 e5
Nimzowitsch-Larsen Attack-Modern Variation #4	1872211	152589	1631815	r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 e5 2 Bb2 Nc6 3 e3
Nimzowitsch-Larsen Attack-Modern Variation-Paschmann Gambit	9463	696	11581	r1bqkbnr/pppp1ppp/2n5/4p3/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 0 3	1 b3 e5 2 Bb2 Nc6 3 f4
Nimzowitsch-Larsen Attack-Ringelbach Gambit	3465	239	2119	rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 e6 2 Bb2 f5 3 e4
Nimzowitsch-Larsen Attack-Dutch Variation	135356	12224	125006	rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 f5
Nimzowitsch-Larsen Attack-Dutch Variation-Ringelbach Variation	3465	239	2119	rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 f5 2 Bb2 e6 3 e4
Nimzowitsch-Larsen Attack-Indian Variation	1507918	166365	1514462	rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 1 2	1 b3 Nf6
Nimzowitsch-Larsen Attack-Indian Variation-Spike Variation	68594	5461	63393	rnbqkb1r/pppppp1p/5np1/8/6P1/1P6/PBPPPP1P/RN1QKBNR b KQkq - 0 3	1 b3 Nf6 2 Bb2 g6 3 g4
Polish/Orangutan/Sokolsky/Hunt Opening	6750120	568312	5914230	rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1	1 b4
Polish Opening-Symmetrical Variation	86130	9046	63865	rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b4 b5
Polish Opening-Husky's Gambit	550	309	796	rnbqkbnr/p1pppppp/8/1p6/1PP5/8/P2PPPPP/RNBQKBNR b KQkq - 0 2	1 b4 b5 2 c4
Polish Opening-Birmingham Gambit	107999	8713	99969	rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b4 c5
Polish Opening-Outflank Variation	199151	20380	196371	rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b4 c6
Polish Opening-Outflank Variation-Schuehler Gambit	275	18	316	rnbqkbnr/1p1ppppp/8/pp6/4P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 4	1 b4 c6 2 Bb2 a5 3 b5 cxb5 4 e4
Polish Opening-Katalymov Gambit	3263	499	2955	rnb1kbnr/1p1ppppp/1qp5/p7/1PP5/P7/1B1PPPPP/RN1QKBNR b KQkq - 0 4	1 b4 c6 2 Bb2 Qb6 3 a3 a5 4 c4
Polish Opening-Katalymov Gambit-Katalymov-Jepisjin Variation	485	68	520	rnb1kbnr/1p2pppp/1qpp4/p7/1PP5/P7/1B1PPPPP/RN1QKBNR w KQkq - 0 5	1 b4 c6 2 Bb2 Qb6 3 a3 a5 4 c4 d6
Polish Opening-Baltic Defence	129949	10324	110682	rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3	1 b4 d5 2 Bb2 Bf5
Polish Opening-Myers Variation	12496	1159	11544	rnbqkbnr/pp2pppp/2p5/3p4/PP6/8/1BPPPPPP/RN1QKBNR b KQkq - 0 3	1 b4 d5 2 Bb2 c6 3 a4
Polish Opening-Labahn Gambit	2475	166	2123	rnbqkbnr/pp2pppp/8/2p5/1P1p4/5N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4	1 b4 d5 2 Bb2 d4 3 Nf3 c5
Polish Opening-German Defence	16530	1600	16936	rnb1kbnr/ppp1pppp/3q4/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3	1 b4 d5 2 Bb2 Qd6
Polish Opening-Bugayev Attack	288711	23262	270501	rnbqkbnr/pppp1ppp/8/4p3/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2	1 b4 e5 2 a3
Polish Opening - Stabenow Variation	27014	1768	20727	rnbqk1nr/pppp1ppp/3b4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3	1 b4 e5 2 Bb2 Bd6
Polish Opening-Wolferts Gambit	3164	173	1944	rnbqkbnr/pp1p1ppp/8/2p1p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 0 3	1 b4 e5 2 Bb2 c5
Polish Opening-Czech Defence	739307	68055	695051	rnbqkbnr/ppp2ppp/3p4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 0 3	1 b4 e5 2 Bb2 d6
Polish Opening-Bugayev Advance Variation	88505	7186	72928	rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq - 0 3	1 b4 e5 2 Bb2 f6 3 b5
Polish Opening-Tartakower Gambit	19235	1431	17333	rnbqkbnr/pppp2pp/5p2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b4 e5 2 Bb2 f6 3 e4
Polish Opening-Tartakower Gambit-Polish/Sokolsky Gambit	13182	965	12209	rnbqk1nr/pppp2pp/5p2/4p3/1b2P3/8/PBPP1PPP/RN1QKBNR w KQkq - 0 4	1 b4 e5 2 Bb2 f6 3 e4 Bxb4
Polish Opening-Lewin Double Gambit	37	10	175	rnbqk1nr/pppp1ppp/8/8/1b2Pp2/8/P1PP2PP/RNBQKBNR w KQkq - 0 4	1 b4 e5 2 e4 Bxb4 3 f4 exf4
Polish Opening-Schuffler Gambit	473	26	409	rnbqkbnr/pppp2pp/4p3/5p2/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b4 e6 2 Bb2 f5 3 e4
Polish Opening-Dutch Defence	68271	5807	62512	rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b4 f5
Polish Opening-Grigorian/Aasum Variation	62961	5651	52319	r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2	1 b4 Nc6
Polish Opening-Schiffler-Sokolsky Variation	139969	15542	127871	rnbqkb1r/ppp2ppp/4pn2/1P1p4/8/4P3/PBPP1PPP/RN1QKBNR b KQkq - 0 4	1 b4 Nf6 2 Bb2 d5 3 e3 e6 4 b5
Polish Opening-Queenside Defence	29272	3969	28192	rnbqkb1r/1ppp1ppp/p3pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq - 0 4	1 b4 Nf6 2 Bb2 e6 3 b5 a6
Polish Opening-Queenside Defence-Rooks Swap Line	16065	2572	14890	1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk - 0 6	1 b4 Nf6 2 Bb2 e6 3 b5 a6 4 a4 axb5 5 axb5 Rxa1 6 Bxa1
Polish Opening-Queen's Indian Variation	27098	2787	24855	rnbqkb1r/p1pp1ppp/1p2pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq - 0 4	1 b4 Nf6 2 Bb2 e6 3 b5 b6
Polish Opening-King's Indian Variation	336164	37622	358047	rnbqkb1r/pppppp1p/5np1/8/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 0 3	1 b4 Nf6 2 Bb2 g6
Polish Opening-King's Indian Variation-Sokolsky Attack	23568	3068	22799	rnbq1rk1/ppp1ppbp/3p1np1/8/1PPP4/4PN2/PB3PPP/RN1QKB1R b KQ - 0 6	1 b4 Nf6 2 Bb2 g6 3 c4 Bg7 4 e3 d6 5 Nf3 0-0 6 d4
Polish Opening-King's Indian Variation-Schiffler Attack	31002	3164	37623	rnbqkb1r/pppppp1p/5np1/8/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b4 Nf6 2 Bb2 g6 3 e4
Polish Opening-King's Indian Variation-Spike Variation	33225	2567	34505	rnbqkb1r/pppppp1p/5np1/8/1P4P1/8/PBPPPP1P/RN1QKBNR b KQkq - 0 3	1 b4 Nf6 2 Bb2 g6 3 g4
Polish Opening-Zukertort System	28065	3276	28206	rnbqkb1r/pppppppp/5n2/8/1P6/5N2/P1PPPPPP/RNBQKB1R b KQkq - 2 2	1 b4 Nf6 2 Nf3
Polish Opening-Tübingen/Karniewski Variation	1322	192	1325	rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2	1 b4 Nh6
Saragossa Opening	3238016	301937	3400565	rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1	1 c3
Saragossa Opening-Bendig Gambit	33360	2173	31718	r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/2P5/PP1P2PP/RNBQKBNR b KQkq - 0 3	1 c3 e5 2 e4 Nc6 3 f4
English Opening	51641123	4914171	45595709	rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1	1 c4
English Opening-Jaenisch/Halibut Gambit	154176	12620	129918	rnbqkbnr/p1pppppp/8/1p6/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2	1 c4 b5
English Opening-English Defence	996138	83313	907373	rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3	1 c4 b6 2 d4 e6
English Opening-Symmetrical Variation	5912649	601627	5141723	rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2	1 c4 c5
English Opening-Symmetrical Variation-Wing Gambit	8597	1014	10114	rnbqkbnr/pp1ppppp/8/2p5/1PP5/8/P2PPPPP/RNBQKBNR b KQkq - 0 2	1 c4 c5 2 b4
English Opening-Symmetrical Variation-Normal/Asymmetrical Variation	3415906	346531	2952055	rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2	1 c4 c5 2 Nc3
English Opening-Symmetrical Variation-Normal Variation-2 Knights Variation	1813122	191152	1577861	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3	1 c4 c5 2 Nc3 Nc6
English Opening-Normal Variation-2 Knights Variation-Fianchetto Variation	795670	85493	663976	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3	1 c4 c5 2 Nc3 Nc6 3 g3
English Opening-2 Knights Variation-Fianchetto Variation-Ultra-Symmetrical Variation	508769	65938	454888	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7
English Opening-Fianchetto Variation-Ultra-Symmetrical Variation-Botvinnik System Reversed	23596	3489	22697	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq - 0 6	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 e3 e5
English Opening-Fianchetto Variation-Ultra-Symmetrical Variation-Botvinnik System	144919	19721	136441	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq - 0 5	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 e4
English Opening-2 Knights Variation-Fianchetto Variation-Ultra-Symmetrical/2 Knights Line	320320	44293	297196	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 3 5	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3
English Opening-Fianchetto Variation-Ultra-Symmetrical Line-Botvinnik System Reversed/Russian Variation	45411	6969	43391	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 e5
English Opening-Fianchetto Variation-Ultra-Symmetrical Line-Full Symmetry Line	273441	35953	227210	r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 6	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6
English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Double Fianchetto Line	16639	2725	14370	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b - - 0 7	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 b3
English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Duchamp Line	120949	16930	112452	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - - 0 7	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 d3
English Opening-Ultra-Symmetrical Line-Full Symmetry Line-Mecking Line	128621	18890	93311	r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 7	1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 0-0 0-0 7 d4
English Opening-Symmetrical Variation-Normal Variation-4 Knights System	366023	44287	296120	r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 4 4	1 c4 c5 2 Nc3 Nc6 3 Nf3 Nf6
English Opening-Symmetrical Variation-Normal Variation-Fianchetto Variation	306003	34718	266941	rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3	1 c4 c5 2 Nc3 Nf6 3 g3
English Opening-Normal Variation-Fianchetto Variation-Rubinstein System	37928	5114	36839	rnbqkb1r/pp2pppp/8/2pn4/8/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 5	1 c4 c5 2 Nc3 Nf6 3 g3 d5 4 cxd5 Nxd5 (5 Bg2 Nc7)
English Opening-Symmetrical Variation-Normal Variation-3 Knights System	46347	7096	41495	rnbqkb1r/pp2pppp/8/2pn4/8/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 5	1 c4 c5 2 Nc3 Nf6 3 Nf3 d5 4 cxd5 Nxd5
English Opening-Normal Variation-3 Knights System-Keres Variation	10639	1739	9389	r1bqk2r/pp2bppp/2n1p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 8	1 c4 c5 2 Nc3 Nf6 3 Nf3 d5 4 cxd5 Nxd5 5 g3 Nc6 6 Bg2 e6 7 0-0 Be7
English Opening-Symmetrical Variation-Napolitano Gambit	1283	141	1491	rnbqkb1r/pp1ppppp/5n2/2p5/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq - 0 3	1 c4 c5 2 Nf3 Nf6 3 b4
English Opening-Symmetrical Variation-Anti-Benoni Formation	583593	79292	582073	rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3	1 c4 c5 2 Nf3 Nf6 3 d4
English Opening-Symmetrical Variation-Anti-Benoni Formation-Spielmann Defence	65533	7780	64677	rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq - 0 5	1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6
English Opening-Symmetrical Variation-Anti-Benoni Formation-Spielmann Defence (Geller Variation)	122551	16425	118209	r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 6	1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6
English Opening-Anti-Benoni Formation-Spielmann Defence-Geller Variation	3551	579	4346	r1b1kb1r/pp1p1ppp/1qn1pn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq - 1 7	1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6 6 g3 Qb6
English Opening-Symmetrical Variation-Hedgehog System	38200	6846	34862	rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7	1 c4 c5 2 Nf3 Nf6 3 g3 b6 4 Bg2 Bb7 5 0-0 e6 6 Nc3 Be7
English Opening-Symmetrical Variation-Hedgehog System-Flexible Formation	1507	355	1370	r2qk2r/1b1nbppp/pp1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1BR2K1 w kq - 1 11	1 c4 c5 2 Nf3 Nf6 3 g3 b6 4 Bg2 Bb7 5 0-0 e6 6 Nc3 Be7 7 d4 cxd4 8 Qxd4 d6 9 Rd1 a6 10 b3 Nbd7
English Opening-Caro/Anglo-Slav/Caro-Kann Defensive System	2532941	294350	2426427	rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2	1 c4 c6
English Opening-Caro-Kann Defensive System (Bogolubov Variation)	109968	13947	91861	rnbqkbnr/pp2pppp/2p5/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R b KQkq - 0 3	1 c4 c6 2 Nf3 d5 3 b3
English Opening-Caro-Kann Defensive System-Bogoljubov Variation	8367	972	7530	rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/1P3N2/P2PPPPP/RNBQKB1R w KQkq - 1 4	1 c4 c6 2 Nf3 d5 3 b3 Bg4
English Opening-Caro-Kann Defensive System-New York Defensive System	23660	3572	21810	rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 3 5	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 Bf5
English Opening-Caro-Kann Defensive System-Capablanca's Variation	10504	1472	9881	rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 3 5	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 Bg4
English Opening-Caro-Kann Defensive System-Bled Variation	11273	1742	9199	rnbqkb1r/pp2pp1p/2p2np1/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 0 5	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 Bb2 g6
English Opening-Caro-Kann Defensive System-London Defensive System	8293	1202	7386	rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3NP1/P2PPP1P/RNBQKB1R w KQkq - 1 5	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bf5
English Opening-Caro-Kann Defensive System-London Defensive System-Réti Variation	9137	1377	8074	r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/2P5/1P3NP1/PB1PPPBP/RN1QK2R w KQkq - 2 7	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bf5 5 Bg2 e6 6 Bb2 Nbd7
English Opening-Caro-Kann Defensive System-Torre Defensive System	4886	699	4494	rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3NP1/P2PPP1P/RNBQKB1R w KQkq - 1 5	1 c4 c6 2 Nf3 d5 3 b3 Nf6 4 g3 Bg4
English Opening-Caro-Kann Defensive System-Irregular Variation	36970	6297	31908	rnbqkb1r/pp2pp1p/2p2np1/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 0 5	1 c4 c6 2 Nf3 d5 3 g3 Nf6 4 Bg2 g6
English Opening-Anglo-Scandinavian Defence	4117121	332017	3313306	rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2	1 c4 d5
English Opening-Anglo-Scandinavian Defence-Vector Gambit	88233	7280	78058	rnbqkbnr/pp2pppp/2p5/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq - 0 3	1 c4 d5 2 cxd5 c6
English Opening-Anglo-Scandinavian Defence-Löhn Gambit	71074	5042	53613	rnbqkbnr/ppp2ppp/4p3/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq - 0 3	1 c4 d5 2 cxd5 e6
English Opening-Anglo-Scandinavian Defence-Schultz Gambit	304622	27048	258734	rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3	1 c4 d5 2 cxd5 Nf6
English Opening-Anglo-Scandinavian Defence-Malvinas Variation	437944	33995	347929	rnb1kbnr/ppp1pppp/8/q7/8/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 4	1 c4 d5 2 cxd5 Qxd5 3 Nc3 Qa5
English Opening-Bremen/King's English Variation	17849247	1515321	15449916	rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2	1 c4 e5
English Opening-Bremen Variation-Kahiko-Hula Gambit	38	9	65	rnbqkb1r/pppp1ppp/5n2/8/2P2p2/4PN2/PP1P2PP/RNBQKB1R b KQkq - 1 4	1 c4 e5 2 e3 Nf6 3 f4 exf4 4 Nf3
English Opening-Bremen Variation-Double Whammy Variation	34569	2817	36507	rnbqkbnr/pppp1ppp/8/4p3/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2	1 c4 e5 2 f4
English Opening-Bremen Variation-Double Whammy Variation-Vampire Gambit	179	13	166	rnbqkbnr/pppp1p1p/8/6p1/2P2p2/5NP1/PP1PP2P/RNBQKB1R b KQkq - 0 4	1 c4 e5 2 f4 exf4 3 Nf3 g5 4 g3
English Opening-Bremen Variation-Drill Variation	7885	749	7631	rnbqkbnr/pppp1pp1/8/4p2p/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3	1 c4 e5 2 g3 h5
English Opening-Bremen Variation-Reversed Sicilian	10822739	918631	9093768	rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2	1 c4 e5 2 Nc3
English Opening-Bremen Variation-Reversed Sicilian-Kramnik-Shirov/Vienna Counterattack	674180	59984	599152	rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3	1 c4 e5 2 Nc3 Bb4
English Opening-Bremen Variation-Reverced Sicilian-Troeger Defence	50960	4741	43244	r2qkbnr/ppp2ppp/2npb3/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5	1 c4 e5 2 Nc3 d6 3 g3 Be6 4 Bg2 Nc6
English Opening-Bremen Variation-Reversed Sicilian-Keres Defence	66030	5832	55331	rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4	1 c4 e5 2 Nc3 d6 3 g3 c6
