Opening Name	White Wins	Draws	Black Wins	FEN	PGN
2 Knights Defence-Bishop Check Line-Bogoljubov Variation-Blackburne/Paoli Variation	24095	1209	19488	r1bqkb1r/p4ppp/5n2/np2p1N1/8/5Q2/PPPP1PPP/RNB1K2R w KQkq - 0 9	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 Bb5+ c6 7 dxc6 bxc6 8 Qf3 cxb5
2 Knights Defence-Bishop Check Line-Bogoljubov Variation-Paoli Variation	1258	90	953	r1b1kb1r/p1q2ppp/2p2n2/n3p1N1/8/3B1Q2/PPPP1PPP/RNB1K2R b KQkq - 3 9	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 Bb5+ c6 7 dxc6 bxc6 8 Qf3 Qc7 9 Bd3
2 Knights Defence-Bishop Check Line-Bogoljubov Variation-Colman Variation	33739	2589	36880	1rbqkb1r/p4ppp/2p2n2/nB2p1N1/8/5Q2/PPPP1PPP/RNB1K2R w KQk - 2 9	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 Bb5+ c6 7 dxc6 bxc6 8 Qf3 Rb8
2 Knights Defence-Knight Attack-Polerio Defence-Kieseritsky/Kieseritzky Variation	162184	13679	156111	r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/3P4/PPP2PPP/RNBQK2R b KQkq - 0 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 d3
2 Knights Defence-Polerio Defence-Kieseritsky Variation-Yankovich Variation	702	75	1107	r1bqk2r/ppp2pp1/5n1p/2bP4/2P1p3/8/PPPNQPPP/RNB1K2R b KQkq - 2 10	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 d3 h6 7 Nf3 e4 8 Qe2 Nxc4 9 dxc4 Bc5 10 Nfd2
2 Knights Defence-Polerio Defence-Kieseritsky Variation-Maróczy Variation	2026	229	2577	r1bqk2r/ppp1bpp1/5n1p/3P4/2P1p3/5N2/PPP1QPPP/RNB1K2R w KQkq - 1 10	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 d3 h6 7 Nf3 e4 8 Qe2 Nxc4 9 dxc4 Be7
2 Knights Defence-Knight Attack-Gruber Variation-Kloss Gambit	24762	1686	21588	r1bqkb1r/ppp2ppp/5n2/3Pp1N1/1nB5/8/PPPP1PPP/RNBQK2R w KQkq - 1 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nb4
2 Knights Defence-Knight Attack-Gruber Variation-Fritz Variation	472529	34132	650081	r1bqkb1r/ppp2ppp/5n2/3Pp1N1/2Bn4/8/PPPP1PPP/RNBQK2R w KQkq - 1 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nd4
2 Knights Defence-Gruber Variation-Fritz Variation-Gruber Variation	2916	284	2258	r1bqkb1r/p1p2ppp/8/1p1np3/3nN3/2P5/PP1P1PPP/RNBQKB1R b KQkq - 1 8	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nd4 6 c3 b5 7 Bf1 Nxd5 8 Ne4
2 Knights Defence-Knight Attack-Gruber Variation-Fegatello Attack	4027133	200245	2256555	r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 0 6	1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Nxd5
